Fecha,Demanda DS,Prioritaria,Industria,Usinas,Exportaciones,,Sur,NBA I,NBA II,TGS,,Norte,Nqn,TGN,,GPM,BOLIVIA,ESCOBAR,ENARSA,,Tucumán Min,Tucumán Max,Tucumán Promedio,BA Min,BA Max,BA Promedio,Esquel Min,Esquel Max,Esquel Promedio,,Linepack TGS,Var. TGS,Lim Inf. TGS,Lim Sup. TGS,,Linepack TGN,Var. TGN,Lim Inf. TGN,Lim Sup. TGN,,Tramo Final TGS,,,Tramo Final TGN,,,,,,,,,,,,,,,,,,,Fecha,GAS,GASOIL,FUELOIL,CARBON
2026-05-20,167.7,68.2,33.3,31.0,7.7,,22.7,9.6,40.8,73.1,,3.8,35.2,39.0,,23.7,1.8,7.6,23.7,,4.5,18.3,11.4,8.0,15.0,11.5,,,,,212.35,-5.83,215.0,235.0,,121.78,-1.32,110.0,142.0,,78.2,,,13.16,,,,,,,,,,,,,,,,,,,2026-05-20,35.14,668.9,2177.3,3522.9
2026-05-21,167.8,71.1,32.8,30.7,4.3,,26.1,9.7,40.8,76.6,,4.0,38.1,42.1,,23.9,2.0,8.5,23.9,,9.9,15.5,12.7,6.0,13.0,8.4,,,,,211.41,-0.94,215.0,235.0,,123.56,1.78,110.0,142.0,,71.68,,,12.62,,,,,,,,,,,,,,,,,,,2026-05-21,35.64,10274.1,2925.4,3588.0
2026-05-22,146.5,66.9,32.9,29.8,7.1,,,,,100.9,,,,34.4,,,,,,,9.2,15.9,12.6,5.0,13.0,9.0,,,,,214.64,3.23,215.0,235.0,,121.0,-2.56,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-05-22,34.42,10401.8,2042.8,3553.1
2026-05-23,142.1,63.8,32.1,29.8,6.6,,,,,101.4,,,,35.2,,,,,,,8.0,16.6,12.3,10.0,15.0,12.5,,,,,218.66,4.02,215.0,235.0,,124.39,3.39,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23,34.27,2566.2,1843.4,3518.4
2026-05-24,138.0,60.6,31.8,29.8,6.6,,,,,98.4,,,,39.6,,,,,,,8.8,17.6,13.2,9.0,16.0,12.5,,,,,220.0,1.34,215.0,235.0,,126.54,2.15,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-05-24,35.63,422.9,926.5,3432.2
2026-05-25,160.7,62.0,30.8,32.6,7.1,,23.1,9.5,41.1,73.7,,4.0,37.4,41.4,,24.4,2.0,3.0,24.4,,9.0,19.4,14.2,9.0,17.0,12.7,,,,,219.25,-0.75,215.0,235.0,,126.55,0.01,110.0,142.0,,80.18,,,13.37,,,,,,,,,,,,,,,,,,,2026-05-25,36.56,554.1,569.9,3436.9
2026-05-26,164.5,66.5,33.0,31.6,4.4,,26.0,9.3,41.2,76.5,,5.8,34.7,40.5,,24.1,3.8,3.0,24.1,,9.1,21.3,15.2,7.2,14.3,12.1,,,,,216.32,-2.93,215.0,235.0,,126.45,-0.1,110.0,142.0,,75.9,,,13.77,,,,,,,,,,,,,,,,,,,2026-05-26,37.15,6026.3,593.2,3525.8
2026-05-27,162.4,67.6,32.7,27.1,7.0,,26.1,9.3,41.1,76.5,,5.5,37.0,42.5,,24.2,3.5,0.0,24.2,,10.0,20.6,15.3,9.0,16.0,13.3,,,,,216.94,0.62,215.0,235.0,,124.66,-1.79,110.0,142.0,,75.38,,,12.96,,,,,,,,,,,,,,,,,,,2026-05-27,32.3,12649.0,1123.4,3281.4
2026-05-28,157.5,66.7,32.5,25.8,4.7,,26.1,9.6,41.3,76.9,,6.1,34.7,40.8,,24.2,4.1,0.0,24.2,,9.7,21.1,15.4,11.0,16.0,13.8,,,,,218.22,1.28,215.0,235.0,,125.62,0.96,110.0,142.0,,76.8,,,13.33,,,,,,,,,,,,,,,,,,,2026-05-28,30.61,15239.7,1447.3,3587.2
2026-05-29,135.7,62.2,32.7,25.3,5.4,,,,,96.4,,,,37.8,,,,,,,11.6,20.4,16.0,12.0,16.0,14.0,,,,,217.5,-0.72,215.0,235.0,,125.93,0.31,110.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,2026-05-29,30.47,12907.2,1441.3,3544.9
