fecha,temp_prom,temp_max,temp_min,prioritaria_est,usinas_est,industria_est,gnc_est,combustible_est,exportaciones_est,demanda_total_est
2026-05-01,20.0,23.5,16.5,32.1,39.2,34.7,5.9,3.7,7.1,122.7
2026-05-02,14.8,18.1,11.5,51.5,29.9,33.1,5.7,3.8,7.1,131.1
2026-05-03,12.1,17.0,7.2,47.7,24.3,32.4,5.0,3.8,7.1,120.3
2026-05-04,15.7,20.5,10.8,41.5,34.3,34.2,5.6,3.7,7.1,126.4
2026-05-05,19.0,22.1,15.8,28.5,38.8,34.7,5.6,3.7,7.1,118.4
2026-05-06,21.4,24.0,18.9,25.4,41.6,35.2,5.5,3.6,7.1,118.4
2026-05-07,16.4,19.2,13.5,46.1,35.0,34.4,5.7,3.8,7.1,132.1
2026-05-08,12.6,15.1,10.2,61.8,29.9,33.5,6.0,3.8,7.1,142.1
2026-05-09,11.2,15.2,7.2,60.0,25.4,32.5,5.7,3.8,7.1,134.5
2026-05-10,13.4,17.9,8.9,48.5,25.9,32.6,5.0,3.8,7.1,122.9
2026-05-11,15.0,18.7,11.3,50.8,33.4,34.0,5.6,3.8,7.1,134.7
2026-05-12,15.2,18.5,12.0,51.0,34.0,34.0,5.6,3.8,7.1,135.5
2026-05-13,17.5,20.6,14.4,47.0,36.7,34.6,5.6,3.7,7.1,134.7
2026-05-14,13.6,17.9,9.3,59.3,31.5,33.9,5.7,3.8,7.1,141.3
