fecha,tipo,source,temp_prom_ba,demanda_total,prioritaria,combustible,gnc,industria,usinas,exp_tgn,exp_tgs,iny_total,iny_tgs,iny_sur,iny_neuba1,iny_neuba2,iny_patagonico,iny_tgn,iny_norte,iny_neuquen,iny_enarsa,iny_gpm,iny_bolivia,iny_chile,peak_shaving,iny_escobar,linepack_total,lim_inf_total,lim_sup_total,var_linepack_total,linepack_tgs,lim_inf_tgs,lim_sup_tgs,linepack_tgn,lim_inf_tgn,lim_sup_tgn,tramo_inicial,lim_inf_tramo_inicial,lim_sup_tramo_inicial,tramo_final,lim_inf_tramo_final,lim_sup_tramo_final,tramo_final_tgs,tramo_final_tgn
2026-04-05,R,PS_20260406.pdf,16.9,120.4,23.8,6.2,4.5,33.5,29.0,7.2,1.7,108.0,52.7,8.1,10.0,34.6,0.0,35.1,3.9,31.2,20.2,20.2,1.9,0.0,0.0,0.0,353.2,312.0,368.0,2.1,220.24,215.0,235.0,132.94,110.0,142.0,254.63,218.0,254.0,100.67,85.0,101.0,85.64,15.03
2026-04-06,R,PS_20260407.pdf,17.3,136.2,28.2,2.3,5.3,37.2,37.7,8.8,2.1,120.4,66.8,21.6,9.9,35.3,0.0,33.3,3.0,30.3,20.2,20.2,1.3,0.0,0.0,0.0,355.3,312.0,368.0,0.1,220.85,215.0,235.0,134.45,110.0,142.0,257.65,218.0,254.0,97.7,85.0,101.0,82.78,14.92
2026-04-07,R,PS_20260408.pdf,17.9,142.0,29.4,3.5,5.3,37.9,39.3,8.4,2.8,125.7,70.0,24.8,9.4,35.8,0.0,34.8,3.1,31.7,20.9,20.9,1.4,0.0,0.0,0.0,355.4,312.0,368.0,0.1,225.24,215.0,235.0,130.12,110.0,142.0,259.13,218.0,254.0,96.35,85.0,101.0,82.73,13.62
2026-04-08,R,PS_20260409.pdf,17.4,142.8,28.3,3.8,5.4,39.2,39.4,8.8,2.3,127.0,69.9,25.4,10.0,34.5,0.0,36.3,3.4,32.8,20.8,20.8,1.3,0.0,0.0,0.0,355.5,312.0,368.0,0.2,227.73,215.0,235.0,127.75,110.0,142.0,259.03,218.0,254.0,96.61,85.0,101.0,83.32,13.29
2026-04-09,R,PS_20260410.pdf,16.1,141.1,27.9,3.9,5.5,37.7,37.2,8.3,2.9,127.2,70.1,25.5,10.1,34.4,0.0,36.6,2.4,34.2,20.5,20.5,0.7,0.0,0.0,0.0,355.6,312.0,368.0,1.9,228.51,215.0,235.0,127.13,110.0,142.0,262.88,218.0,254.0,94.63,85.0,101.0,80.56,14.07
2026-04-12,R,PS_20260413.pdf,19.8,122.3,22.2,3.4,4.5,37.2,27.8,9.1,2.0,109.1,64.8,22.1,10.1,32.7,0.0,33.5,1.9,31.5,10.8,10.8,0.0,0.0,0.0,0.0,369.9,312.0,368.0,1.7,235.83,215.0,235.0,134.07,110.0,142.0,268.62,218.0,254.0,103.02,85.0,101.0,86.24,16.78
2026-04-13,R,PS_20260414.pdf,21.4,127.0,23.8,3.2,5.3,38.7,30.0,7.1,2.1,105.9,59.5,20.5,10.0,29.0,0.0,32.5,1.9,30.6,13.8,13.8,0.0,0.0,0.0,0.0,371.6,312.0,368.0,-5.1,235.47,215.0,235.0,136.17,110.0,142.0,266.3,218.0,254.0,100.2,85.0,101.0,83.44,16.76
2026-04-14,R,PS_20260415.pdf,22.4,132.9,24.1,3.5,5.3,37.5,35.5,8.8,2.1,109.1,58.7,20.5,10.5,27.7,0.0,31.3,2.0,29.2,19.1,19.1,0.0,0.0,0.0,0.0,366.5,312.0,368.0,-8.3,230.5,215.0,235.0,136.01,110.0,142.0,262.25,218.0,254.0,95.96,85.0,101.0,81.75,14.21
2026-04-15,R,PS_20260416.pdf,21.2,134.7,24.3,4.3,5.4,38.2,37.0,7.6,2.0,112.6,61.4,22.3,10.1,29.1,0.0,32.6,2.1,30.5,18.6,18.6,0.0,0.0,0.0,0.0,358.2,312.0,368.0,-6.5,225.8,215.0,235.0,132.41,110.0,142.0,263.21,218.0,254.0,88.48,85.0,101.0,75.15,13.33
2026-04-16,R,PS_20260417.pdf,20.4,135.9,24.8,3.6,5.6,39.2,38.2,6.8,2.0,117.2,63.3,22.3,10.0,31.1,0.0,34.0,2.2,31.8,19.9,19.9,0.0,0.0,0.0,0.0,351.7,312.0,368.0,-3.5,220.0,215.0,235.0,131.69,110.0,142.0,256.74,218.0,254.0,91.46,85.0,101.0,77.97,13.49
2026-04-19,R,PS_20260420.pdf,21.8,130.2,25.3,3.6,4.5,37.3,35.1,7.6,2.2,120.8,68.7,23.5,10.1,35.1,0.0,31.8,1.9,29.9,20.3,20.3,0.0,0.0,0.0,0.0,349.2,312.0,368.0,5.9,216.1,215.0,235.0,133.15,110.0,142.0,256.3,218.0,254.0,98.83,85.0,101.0,83.78,15.05
2026-04-20,R,PS_20260421.pdf,20.4,143.9,32.1,3.7,5.4,39.5,40.5,3.8,2.1,120.1,70.3,24.6,9.8,36.0,0.0,28.9,1.9,27.0,20.9,20.9,0.0,0.0,0.0,0.0,355.1,312.0,368.0,-7.9,217.8,215.0,235.0,137.33,110.0,142.0,252.45,218.0,254.0,94.75,85.0,101.0,79.42,15.33
2026-04-21,R,PS_20260422.pdf,18.7,145.9,33.8,4.3,4.8,39.2,39.9,3.9,2.1,122.2,71.0,24.5,9.6,37.0,0.0,29.6,1.9,27.7,21.5,21.5,0.0,0.0,0.0,0.0,347.2,312.0,368.0,-8.1,213.0,215.0,235.0,134.2,110.0,142.0,247.29,218.0,254.0,91.8,85.0,101.0,77.5,14.3
2026-04-22,R,PS_20260423.pdf,16.2,143.6,34.7,3.5,5.5,35.6,34.8,8.5,2.2,129.0,70.9,24.6,9.8,36.6,0.0,36.6,2.5,34.1,21.5,21.5,0.6,0.0,0.0,0.0,339.1,312.0,368.0,1.9,210.3,215.0,235.0,128.79,110.0,142.0,249.54,218.0,254.0,91.43,85.0,101.0,78.36,13.07
2026-04-23,R,PS_20260424.pdf,17.7,139.1,34.3,3.5,4.9,35.7,34.3,7.4,2.2,126.0,71.4,24.7,9.8,36.9,0.0,34.8,2.3,32.4,19.8,19.8,0.6,0.0,0.0,0.0,341.0,312.0,368.0,2.9,214.63,215.0,235.0,126.33,110.0,142.0,249.37,218.0,254.0,94.47,85.0,101.0,81.4,13.07
2026-04-26,R,PS_20260427.pdf,13.4,137.4,40.3,6.9,4.5,32.8,27.7,7.6,2.0,123.8,69.8,24.7,9.5,35.6,0.0,37.8,3.8,34.0,16.2,16.2,2.0,0.0,0.0,0.0,340.7,312.0,368.0,1.2,212.1,215.0,235.0,128.64,110.0,142.0,253.57,218.0,254.0,88.33,85.0,101.0,75.88,12.45
2026-04-27,R,PS_20260428.pdf,11.8,156.2,50.0,8.0,5.4,36.5,34.7,3.9,1.8,129.5,73.6,25.3,9.8,38.6,0.0,31.4,3.6,27.8,24.5,24.5,1.8,0.0,0.0,0.0,341.9,312.0,368.0,-10.6,211.95,215.0,235.0,129.95,110.0,142.0,244.17,218.0,254.0,87.13,85.0,101.0,74.8,12.33
2026-04-28,R,PS_20260429.pdf,15.8,151.4,47.3,4.1,5.3,35.2,29.1,9.1,2.1,132.6,72.6,24.2,9.8,38.6,0.0,38.2,4.1,34.2,21.8,21.8,2.3,0.0,0.0,0.0,331.3,312.0,368.0,-2.6,208.67,215.0,235.0,122.63,110.0,142.0,241.43,218.0,254.0,87.28,85.0,101.0,72.87,14.41
2026-04-29,R,PS_20260430.pdf,16.0,143.4,42.8,3.2,5.4,33.9,29.3,7.3,1.9,129.0,67.2,22.7,10.0,34.6,0.0,40.7,5.5,35.2,21.0,21.0,3.7,0.0,0.0,0.0,328.7,312.0,368.0,0.9,208.07,215.0,235.0,120.64,110.0,142.0,243.16,218.0,254.0,86.44,85.0,101.0,72.25,14.19
2026-05-03,R,PS_20260504.pdf,11.1,139.9,49.3,3.9,4.4,32.1,30.3,7.7,1.9,132.9,73.3,24.9,10.1,38.3,0.0,37.3,5.5,31.8,22.3,22.3,3.5,0.0,0.0,0.0,355.3,312.0,368.0,7.3,216.4,215.0,235.0,138.94,110.0,142.0,262.51,218.0,254.0,100.11,85.0,101.0,82.64,17.47
2026-05-04,R,PS_20260505.pdf,16.7,150.3,44.1,4.1,5.3,34.5,35.2,7.9,2.1,133.6,70.2,25.2,10.0,35.0,0.0,41.2,5.2,36.0,22.2,22.2,3.5,0.0,0.0,0.0,362.6,312.0,368.0,-1.8,224.66,215.0,235.0,137.96,110.0,142.0,264.26,218.0,254.0,96.53,85.0,101.0,80.97,15.56
2026-05-05,R,PS_20260506.pdf,20.3,147.9,39.0,4.1,5.2,35.7,34.7,8.6,2.0,133.8,71.4,25.4,10.3,35.8,0.0,39.4,4.8,34.6,22.9,22.9,2.7,0.0,0.0,0.0,360.8,312.0,368.0,1.8,223.02,215.0,235.0,137.77,110.0,142.0,261.64,218.0,254.0,101.0,85.0,101.0,85.15,15.85
2026-05-06,R,PS_20260507.pdf,22.1,140.8,36.9,4.0,5.2,33.8,34.3,9.9,1.9,130.6,74.1,25.4,10.4,38.4,0.0,36.8,2.2,34.5,19.7,19.7,0.1,0.0,0.0,0.0,362.6,312.0,368.0,6.0,225.57,215.0,235.0,137.06,110.0,142.0,262.88,218.0,254.0,105.78,85.0,101.0,88.22,17.56
