segmento,fecha,actual,predicted,residual
prioritaria,2026-05-25,63.5,57.51,5.99
prioritaria,2026-05-27,64.7,57.27,7.43
prioritaria,2026-05-28,61.9,51.43,10.47
prioritaria,2026-05-29,62.2,46.43,15.77
prioritaria,2026-05-30,58.6,47.3,11.3
prioritaria,2026-05-31,55.7,44.26,11.44
prioritaria,2026-06-01,63.1,43.93,19.17
prioritaria,2026-06-02,57.7,51.05,6.65
prioritaria,2026-06-03,60.7,43.04,17.66
prioritaria,2026-06-04,58.9,32.12,26.78
prioritaria,2026-06-05,57.9,32.96,24.94
prioritaria,2026-06-06,54.1,28.77,25.33
prioritaria,2026-06-07,55.1,37.4,17.7
prioritaria,2026-06-08,61.8,52.77,9.03
prioritaria,2026-06-09,62.6,60.6,2.0
prioritaria,2026-06-10,65.2,55.35,9.85
prioritaria,2026-06-11,66.4,54.57,11.83
prioritaria,2026-06-12,64.7,62.05,2.65
prioritaria,2026-06-13,68.6,60.3,8.3
prioritaria,2026-06-14,72.4,78.93,-6.53
prioritaria,2026-06-15,72.9,78.27,-5.37
prioritaria,2026-06-16,70.0,61.42,8.58
prioritaria,2026-06-17,75.3,68.98,6.32
prioritaria,2026-06-18,69.3,61.8,7.5
prioritaria,2026-06-19,75.5,65.13,10.37
prioritaria,2026-06-20,71.2,62.18,9.02
prioritaria,2026-06-21,69.1,64.1,5.0
prioritaria,2026-06-22,80.4,76.11,4.29
prioritaria,2026-06-23,79.1,83.93,-4.83
prioritaria,2026-06-24,82.5,90.57,-8.07
prioritaria,2026-06-25,84.3,75.25,9.05
prioritaria,2026-06-26,82.6,68.45,14.15
prioritaria,2026-06-27,76.9,63.81,13.09
prioritaria,2026-06-28,74.3,63.92,10.38
prioritaria,2026-06-29,81.7,79.6,2.1
prioritaria,2026-06-30,80.3,80.42,-0.12
prioritaria,2026-07-01,86.4,87.78,-1.38
prioritaria,2026-07-02,92.1,107.2,-15.1
prioritaria,2026-07-04,89.0,102.37,-13.37
