fecha,linepack_tgn_est,temp_prom,linepack_tgs_est,linepack_total_est
2026-07-27,133.92,14.4,235.01,
2026-07-28,133.2,12.8,233.08,369.36
2026-07-29,132.7,11.6,231.53,366.93
2026-07-30,132.35,11.6,230.29,364.98
2026-07-31,132.1,15.7,229.3,363.42
2026-08-01,131.93,15.4,228.51,362.18
2026-08-02,131.81,11.6,227.88,361.18
2026-08-03,131.72,12.0,227.37,360.38
2026-08-04,131.66,12.8,226.97,359.74
2026-08-05,131.62,12.4,226.65,359.23
2026-08-06,131.59,16.4,226.39,358.82
2026-08-07,131.57,20.9,226.18,358.5
2026-08-08,131.55,19.6,226.01,358.24
2026-08-09,131.54,12.9,225.88,358.03
