fecha,source,gas_mmm3,carbon_tn,fueloil_tn,gasoil_m3,gen_gas_mwh,gen_carbon_mwh,gen_fueloil_mwh,gen_gasoil_mwh,plants_counted
2026-01-20,Parte_200126.xls,49.99,0.0,0.0,0.0,245039.8,0.0,0.0,0.0,239
2026-01-21,Parte_210126.xls,51.621,0.0,0.0,0.0,254550.0,0.0,0.0,0.0,239
2026-01-22,Parte_220126.xls,59.865,0.0,0.0,0.0,290685.3,0.0,0.0,0.0,239
2026-01-23,Parte_230126.xls,65.683,694.7,0.0,0.0,317441.0,1437.8,0.0,0.0,239
2026-01-24,Parte_240126.xls,58.479,1659.5,0.0,0.0,278368.3,3434.4,0.0,0.0,239
2026-01-25,Parte_250126.xls,54.92,2667.1,0.0,0.0,260173.9,5513.5,0.0,0.0,239
2026-01-26,Parte_260126.xls,65.335,3094.3,10.1,0.0,316869.1,6322.3,46.0,0.0,239
2026-01-27,Parte_270126.xls,67.172,3156.2,0.0,0.0,325928.1,6457.4,0.0,0.0,239
2026-01-28,Parte_280126.xls,66.925,2653.4,0.0,0.0,323078.6,5424.0,0.0,0.0,239
2026-01-29,Parte_290126.xls,66.68,2992.2,0.0,0.0,320632.0,6124.3,0.0,0.0,239
2026-01-30,Parte_300126.xls,67.103,3160.7,12.8,0.0,318160.2,6461.5,36.0,0.0,239
2026-01-31,Parte_310126.xls,58.937,3012.6,0.0,0.0,276954.3,6155.1,0.0,0.0,239
2026-02-01,Parte_010226.xls,55.439,2869.9,0.0,0.0,260735.9,5862.0,0.0,0.0,239
2026-02-02,Parte_020226.xls,63.35,3046.6,0.0,0.0,301367.6,6226.9,0.0,0.0,239
2026-02-03,Parte_030226.xls,69.705,3219.5,0.0,0.0,333912.6,6584.9,0.0,0.0,239
2026-02-04,Parte_040226.xls,63.48,3258.7,0.0,0.0,306402.5,6695.3,0.0,0.0,239
2026-02-05,Parte_050226.xls,62.814,2954.7,0.0,263.2,300008.3,6089.0,0.0,971.0,239
2026-02-06,Parte_060226.xls,55.784,2886.8,0.0,0.0,266163.6,5974.4,0.0,0.0,239
2026-02-07,Parte_070226.xls,56.249,2475.0,0.0,0.0,269288.4,5122.1,0.0,0.0,239
