fecha,temp_prom,temp_max,temp_min,prioritaria_est,usinas_est,industria_est,gnc_est,combustible_est,exportaciones_est,demanda_total_est
2026-06-01,12.4,13.4,11.4,48.5,30.2,33.6,5.5,3.8,7.2,128.8
2026-06-02,12.4,13.9,10.9,50.4,30.4,33.5,5.5,3.8,7.2,130.8
2026-06-03,14.2,15.9,12.5,45.5,32.5,34.0,5.5,3.7,7.2,128.4
2026-06-04,15.4,17.5,13.4,40.3,33.7,34.1,5.6,3.7,7.2,124.6
2026-06-05,16.0,17.9,14.2,39.0,34.0,34.0,5.8,3.7,7.2,123.7
2026-06-06,14.3,15.6,13.1,39.2,29.3,32.9,5.6,3.7,7.2,117.9
2026-06-07,14.1,14.4,13.7,43.0,27.0,32.7,4.9,3.8,7.2,118.6
2026-06-08,14.2,16.3,12.1,59.5,32.5,33.9,5.5,3.8,7.2,142.4
2026-06-09,10.2,12.2,8.2,69.6,27.6,33.1,5.5,3.8,7.2,146.8
2026-06-10,13.4,14.8,11.9,65.5,31.5,33.8,5.5,3.8,7.2,147.3
2026-06-11,13.8,14.6,12.9,63.8,31.7,33.9,5.6,3.8,7.2,146.0
2026-06-12,13.2,15.4,11.1,62.3,30.5,33.5,5.9,3.8,7.2,143.2
2026-06-13,11.2,13.4,8.9,61.0,25.4,32.4,5.6,3.8,7.2,135.4
2026-06-14,10.6,12.3,8.9,70.5,22.6,32.1,4.9,3.8,7.2,141.1
