fecha,source,generado_at,linepack_tgs_dia_anterior,linepack_tgs_dia_actual,linepack_tgs_variacion,recepcion_sur_programada,recepcion_sur_realizada,recepcion_neuquina_programada,recepcion_neuquina_realizada,alerta_estado,alerta_motivo,pcs_san_martin,pcs_neuba_1,pcs_neuba_2,pcs_troncal,pcs_paralelo
2026-04-02,ETGS1775185200000.pdf,2026-04-03T08:17:23,217.8,216.66,-1.13,25.262,22.939,51.446,51.738,TGSA - Alerta Alerta por bajo linepack proyectado,,9528,9937,10321,9219,9209
2026-04-03,ETGS1775271600000.pdf,2026-04-04T08:04:27,216.66,215.09,-1.58,21.156,20.607,54.458,55.635,TGSA - Alerta Alerta por bajo linepack proyectado.,,9541,9901,10350,9491,9545
2026-04-04,ETGS1775358000000.pdf,2026-04-05T09:51:54,215.09,220.23,5.15,21.409,19.481,54.228,55.512,TGSA - Alerta Alerta por bajo linepack proyectado,,9530,9918,10289,9441,9597
2026-04-05,ETGS1775444400000.pdf,2026-04-06T08:19:49,220.23,220.85,0.62,8.604,8.138,54.995,52.792,TGSA - Alerta Alerta por bajo linepack proyectado,,9534,9889,10346,9548,9640
2026-04-06,ETGS1775530800000.pdf,2026-04-07T08:33:37,220.85,225.25,4.4,22.071,21.637,57.311,57.109,TGS -,Normal,9538,9921,10351,9406,9358
2026-04-07,ETGS1775617200000.pdf,2026-04-08T07:50:04,225.25,227.73,2.49,24.585,24.757,55.603,56.467,TGS -,Normal,9519,9949,10456,9284,9477
2026-04-08,ETGS1775703600000.pdf,2026-04-09T08:04:43,227.73,228.5,0.77,25.145,25.387,56.219,55.64,TGS -,Normal,9540,9933,10361,9357,9481
2026-04-09,ETGS1775790000000.pdf,2026-04-10T08:17:49,228.5,226.87,-1.63,24.989,25.541,50.989,55.306,TGS -,Normal,9583,9826,10223,9289,9456
2026-04-10,ETGS1775876400000.pdf,2026-04-11T08:05:38,226.87,229.32,2.45,23.517,24.305,56.502,55.392,TGSA - Alerta,Por alto linepack en el sistema.,9526,9940,10372,9269,9431
2026-04-11,ETGS1775962800000.pdf,2026-04-12T08:20:06,229.32,235.81,6.5,25.101,25.346,46.589,48.114,TGSA - Alerta,Por alto linepack en el sistema.,9571,9984,10585,9382,9594
2026-04-12,ETGS1776049200000.pdf,2026-04-13T08:25:53,235.81,235.46,-0.36,21.822,22.057,45.317,45.393,TGSA - Alerta,Por alto linepack en el sistema.,9537,9991,10345,9259,9428
2026-04-13,ETGS1776135600000.pdf,2026-04-14T09:00:00,235.46,230.48,-4.98,21.671,20.548,46.831,48.519,TGS -,Normal,9520,9924,10422,9285,9382
2026-04-14,ETGS1776222000000.pdf,2026-04-15T08:47:58,230.48,225.81,-4.67,22.073,20.507,49.032,50.021,TGS -,Normal,9534,9883,10426,9213,9316
