segmento,fecha,actual,predicted,residual
prioritaria,2026-05-11,63.8,60.17,3.63
prioritaria,2026-05-12,59.7,44.11,15.59
prioritaria,2026-05-13,59.4,56.07,3.33
prioritaria,2026-05-14,57.4,59.75,-2.35
prioritaria,2026-05-15,56.5,58.71,-2.21
prioritaria,2026-05-16,58.4,63.27,-4.87
prioritaria,2026-05-17,60.7,67.32,-6.62
prioritaria,2026-05-18,68.4,68.6,-0.2
prioritaria,2026-05-19,67.0,63.83,3.17
prioritaria,2026-05-20,67.0,64.16,2.84
prioritaria,2026-05-21,67.6,70.47,-2.87
prioritaria,2026-05-22,66.9,74.29,-7.39
prioritaria,2026-05-23,63.8,67.02,-3.22
prioritaria,2026-05-24,60.6,58.61,1.99
prioritaria,2026-05-25,63.5,57.0,6.5
prioritaria,2026-05-27,64.7,58.52,6.18
prioritaria,2026-05-28,61.9,54.9,7.0
prioritaria,2026-05-29,62.2,50.86,11.34
prioritaria,2026-05-30,58.6,50.66,7.94
prioritaria,2026-05-31,55.7,50.02,5.68
prioritaria,2026-06-01,63.1,48.47,14.63
prioritaria,2026-06-02,57.7,51.46,6.24
prioritaria,2026-06-03,60.7,47.28,13.42
prioritaria,2026-06-04,58.9,43.8,15.1
prioritaria,2026-06-05,57.9,43.11,14.79
prioritaria,2026-06-06,54.1,38.0,16.1
prioritaria,2026-06-07,55.1,43.31,11.79
prioritaria,2026-06-08,61.8,61.1,0.7
prioritaria,2026-06-09,62.6,63.14,-0.54
prioritaria,2026-06-10,65.2,59.39,5.81
prioritaria,2026-06-11,66.4,60.42,5.98
prioritaria,2026-06-12,64.7,64.93,-0.23
prioritaria,2026-06-13,68.6,68.95,-0.35
prioritaria,2026-06-14,72.4,78.19,-5.79
prioritaria,2026-06-15,72.9,73.72,-0.82
prioritaria,2026-06-16,70.0,62.44,7.56
prioritaria,2026-06-17,75.3,72.85,2.45
prioritaria,2026-06-18,69.3,64.23,5.07
prioritaria,2026-06-19,75.5,68.28,7.22
prioritaria,2026-06-20,71.2,61.47,9.73
prioritaria,2026-06-21,69.1,63.06,6.04
prioritaria,2026-06-22,80.4,77.21,3.19
prioritaria,2026-06-23,79.1,81.43,-2.33
prioritaria,2026-06-24,82.5,86.02,-3.52
prioritaria,2026-06-25,84.3,76.99,7.31
prioritaria,2026-06-26,82.6,68.52,14.08
prioritaria,2026-06-27,76.9,65.79,11.11
prioritaria,2026-06-28,74.3,67.04,7.26
prioritaria,2026-06-29,81.7,78.57,3.13
prioritaria,2026-06-30,80.3,83.6,-3.3
prioritaria,2026-07-01,86.4,94.05,-7.65
prioritaria,2026-07-02,92.1,104.97,-12.87
prioritaria,2026-07-04,89.0,89.25,-0.25
prioritaria,2026-07-05,87.6,78.23,9.37
prioritaria,2026-07-06,95.2,72.05,23.15
prioritaria,2026-07-08,85.6,45.36,40.24
prioritaria,2026-07-09,73.8,53.16,20.64
prioritaria,2026-07-10,76.4,59.64,16.76
usinas,2026-05-11,26.3,26.08,0.22
usinas,2026-05-12,25.3,33.48,-8.18
usinas,2026-05-13,25.3,30.06,-4.76
usinas,2026-05-14,25.2,31.88,-6.68
usinas,2026-05-15,24.6,30.59,-5.99
usinas,2026-05-16,25.0,29.32,-4.32
usinas,2026-05-17,25.5,23.76,1.74
usinas,2026-05-18,30.0,26.1,3.9
usinas,2026-05-19,30.2,30.23,-0.03
usinas,2026-05-20,29.7,28.77,0.93
usinas,2026-05-21,30.9,26.19,4.71
usinas,2026-05-22,29.8,24.97,4.83
usinas,2026-05-23,29.8,26.93,2.87
usinas,2026-05-24,29.8,24.47,5.33
usinas,2026-05-25,31.9,29.75,2.15
usinas,2026-05-27,29.1,29.81,-0.71
usinas,2026-05-28,25.2,31.02,-5.82
usinas,2026-05-29,25.3,31.12,-5.82
usinas,2026-05-30,22.5,27.52,-5.02
usinas,2026-05-31,24.0,21.98,2.02
usinas,2026-06-01,38.7,29.09,9.61
usinas,2026-06-02,39.1,29.94,9.16
usinas,2026-06-03,39.6,33.49,6.11
usinas,2026-06-04,40.6,33.38,7.22
usinas,2026-06-05,40.0,34.13,5.87
usinas,2026-06-06,37.7,31.15,6.55
usinas,2026-06-07,38.2,27.0,11.2
usinas,2026-06-08,41.7,29.98,11.72
usinas,2026-06-09,42.1,28.88,13.22
usinas,2026-06-10,37.0,29.26,7.74
usinas,2026-06-11,35.3,32.11,3.19
usinas,2026-06-12,35.5,28.3,7.2
usinas,2026-06-13,34.6,25.39,9.21
usinas,2026-06-14,34.0,16.95,17.05
usinas,2026-06-15,32.9,24.44,8.46
usinas,2026-06-16,38.3,30.26,8.04
usinas,2026-06-17,34.5,27.54,6.96
usinas,2026-06-18,31.3,28.55,2.75
usinas,2026-06-19,29.0,27.94,1.06
usinas,2026-06-20,29.7,23.18,6.52
usinas,2026-06-21,28.0,23.59,4.41
usinas,2026-06-22,28.9,26.61,2.29
usinas,2026-06-23,29.5,24.72,4.78
usinas,2026-06-24,29.3,24.33,4.97
usinas,2026-06-25,30.3,27.21,3.09
usinas,2026-06-26,29.1,24.07,5.03
usinas,2026-06-27,30.9,25.71,5.19
usinas,2026-06-28,29.0,22.29,6.71
usinas,2026-06-29,29.4,25.78,3.62
usinas,2026-06-30,29.2,25.49,3.71
usinas,2026-07-01,30.4,25.35,5.05
usinas,2026-07-02,30.6,20.81,9.79
usinas,2026-07-04,25.0,18.79,6.21
usinas,2026-07-05,27.6,18.46,9.14
usinas,2026-07-06,23.3,25.65,-2.35
usinas,2026-07-08,30.3,32.38,-2.08
usinas,2026-07-09,33.9,30.43,3.47
usinas,2026-07-10,36.9,28.54,8.36
demanda_total,2026-05-11,142.9,142.29,0.61
demanda_total,2026-05-12,136.7,135.45,1.25
demanda_total,2026-05-13,135.8,141.21,-5.41
demanda_total,2026-05-14,133.1,137.57,-4.47
demanda_total,2026-05-15,132.9,137.77,-4.87
demanda_total,2026-05-16,133.2,128.53,4.67
demanda_total,2026-05-17,134.8,126.11,8.69
demanda_total,2026-05-18,148.6,142.57,6.03
demanda_total,2026-05-19,148.0,140.63,7.37
demanda_total,2026-05-20,148.1,143.2,4.9
