dia_operativo,gasoducto,tipo,actual,equilibrio,zona,estado,total_min,total_max,observaciones,desb_del_sistema,desb_porcentual
01/04/2026,TGN,L,124888230,126000000,,,,,,1111770,1.3
02/04/2026,TGN,L,126039560,126000000,,,,,,-39560,-0.05
03/04/2026,TGN,L,129317850,126000000,,,,,,-3317850,-3.87
04/04/2026,TGN,L,132939430,126000000,,,,,,-6939430,-8.09
05/04/2026,TGN,L,134447680,126000000,,,,,,-8447680,-9.85
06/04/2026,TGN,L,130115443,126000000,,,,,,-4115443,-4.8
07/04/2026,TGN,L,127746910,126000000,,,,,,-1746910,-2.04
08/04/2026,TGN,L,127131890,126000000,,,,,,-1131890,-1.32
09/04/2026,TGN,L,130636680,126000000,,,,,,-4636680,-5.41
10/04/2026,TGN,L,130555210,126000000,,,,,,-4555210,-5.31
11/04/2026,TGN,L,134072480,126000000,,,,,,-8072480,-9.41
12/04/2026,TGN,L,136171340,126000000,,,,,,-10171340,-11.86
13/04/2026,TGN,L,136008090,126000000,,,,,,-10008090,-11.67
14/04/2026,TGN,L,132410208,126000000,,,,,,-6410208,-7.48
15/04/2026,TGN,L,131691363,126000000,,,,,,-5691363,-6.64
01/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
02/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
03/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
04/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
05/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
06/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
07/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
08/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
09/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
10/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
11/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
12/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
13/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
14/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
15/04/2026,TGN,B,,,Todas,NORMAL,-7,7,,,
