fecha,linepack_tgs_est,linepack_tgn_est,temp_prom,linepack_total_est
2026-07-31,221.29,,,
2026-08-01,223.01,136.99,15.9,
2026-08-02,224.21,135.75,12.9,359.7
2026-08-03,225.05,134.88,13.6,359.14
2026-08-04,225.64,134.27,12.4,358.75
2026-08-05,226.05,133.84,12.9,358.47
2026-08-06,226.34,133.54,13.6,358.28
2026-08-07,226.54,133.33,9.4,358.14
2026-08-08,226.68,133.19,8.0,358.05
2026-08-09,226.78,133.09,6.1,357.98
2026-08-10,226.85,133.02,6.2,357.93
2026-08-11,226.9,132.97,7.0,357.9
2026-08-12,226.93,132.93,10.8,357.88
2026-08-13,226.95,132.91,11.4,357.86
2026-08-14,226.97,132.89,12.8,357.85
