mes,area,cuenca,provincia,pozos,pozos_pet,pozos_gas,pozos_serv,pozos_otros
2009-01,JAGÜEL CASA DE PIEDRA,NEUQUINA,Mendoza,10,7,0,2,1
2009-01,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,Mendoza,9,5,0,4,0
2009-01,MEDANITO,NEUQUINA,La Pampa,5,5,0,0,0
2009-01,AGUADA PICHANA,NEUQUINA,Neuquén,4,0,4,0,0
2009-01,EL TRAPIAL - CURAMCHED,NEUQUINA,Neuquén,4,3,0,1,0
2009-01,AGUA DEL CAJON,NEUQUINA,Neuquén,3,0,3,0,0
2009-01,CAÑADON AMARILLO,NEUQUINA,Mendoza,3,3,0,0,0
2009-01,EL MEDANITO,NEUQUINA,Rio Negro,3,3,0,0,0
2009-01,EL RENEGADO,NEUQUINA,La Pampa,3,2,0,0,1
2009-01,LOMA LA LATA - SIERRA BARROSA,NEUQUINA,Neuquén,3,0,3,0,0
2009-01,25 DE MAYO - MEDANITO SUD ESTE,NEUQUINA,La Pampa,2,2,0,0,0
2009-01,AGUADA BAGUALES,NEUQUINA,Neuquén,2,2,0,0,0
2009-01,BAJADA DEL PALO,NEUQUINA,Neuquén,2,2,0,0,0
2009-01,CENTENARIO,NEUQUINA,Neuquén,2,1,1,0,0
2009-01,ENTRE LOMAS,NEUQUINA,Rio Negro,2,2,0,0,0
2009-01,AL NORTE DE LA DORSAL,NEUQUINA,Neuquén,1,0,1,0,0
2009-01,AL SUR DE LA DORSAL,NEUQUINA,Neuquén,1,0,1,0,0
2009-01,ANGOSTURA,NEUQUINA,Rio Negro,1,1,0,0,0
2009-01,EL MANGRULLO,NEUQUINA,Neuquén,1,0,1,0,0
2009-01,EL PORVENIR,NEUQUINA,Neuquén,1,0,0,0,1
2009-01,GOBERNADOR AYALA,NEUQUINA,Mendoza,1,1,0,0,0
2009-01,JAGÜEL DE LOS MACHOS,NEUQUINA,Rio Negro,1,1,0,0,0
2009-02,CHIHUIDO DE LA SIERRA NEGRA,NEUQUINA,Mendoza,8,7,0,1,0
2009-02,CNQ 7/A,NEUQUINA,La Pampa,5,5,0,0,0
2009-02,AGUADA PICHANA,NEUQUINA,Neuquén,3,0,3,0,0
2009-02,CENTENARIO,NEUQUINA,Neuquén,3,3,0,0,0
2009-02,25 DE MAYO - MEDANITO SUD ESTE,NEUQUINA,La Pampa,2,2,0,0,0
2009-02,AGUA DEL CAJON,NEUQUINA,Neuquén,2,0,2,0,0
2009-02,AGUADA BAGUALES,NEUQUINA,Neuquén,2,2,0,0,0
2009-02,ENTRE LOMAS,NEUQUINA,Rio Negro,2,2,0,0,0
2009-02,LOMA LA LATA - SIERRA BARROSA,NEUQUINA,Neuquén,2,0,1,0,1
2009-02,MEDANITO,NEUQUINA,La Pampa,2,2,0,0,0
2009-02,AL NORTE DE LA DORSAL,NEUQUINA,Neuquén,1,0,1,0,0
2009-02,AL SUR DE LA DORSAL,NEUQUINA,Neuquén,1,0,1,0,0
2009-02,CALANDRIA MORA,NEUQUINA,Neuquén,1,0,0,0,1
2009-02,CAÑADON AMARILLO,NEUQUINA,Mendoza,1,1,0,0,0
2009-02,CHIHUIDO DE LA SALINA,NEUQUINA,Mendoza,1,1,0,0,0
2009-02,COIRON AMARGO NORTE,NEUQUINA,Neuquén,1,1,0,0,0
