fecha,gas_andes_autorizacion,cco_capacidad,cco_corte,tgs_nqn_capacidad,tgs_nqn_corte
2025-11-01,8.0,30.0,-3.7,36.7,-0.5
2025-11-02,8.0,30.0,-3.7,36.7,-0.5
2025-11-03,6.0,29.0,-4.7,36.5,-0.7
2025-11-04,6.0,29.0,-4.7,36.5,-0.7
2025-11-05,4.0,29.0,-4.7,36.5,-0.7
2025-11-06,4.0,29.0,-4.7,36.5,-0.7
2025-11-07,4.0,29.0,-4.7,36.5,-0.7
2025-11-08,4.0,29.0,-4.7,36.7,-0.5
2025-11-09,4.0,29.0,-4.7,36.7,-0.5
2025-11-10,4.0,29.0,-4.7,36.7,-0.5
2025-11-11,4.0,29.0,-4.7,36.7,-0.5
2025-11-12,4.0,29.0,-4.7,36.7,-0.5
2025-11-13,4.0,29.0,-4.7,36.7,-0.5
2025-11-14,4.0,29.0,-4.7,36.7,-0.5
2025-11-15,4.0,29.0,-4.7,36.7,-0.5
2025-11-16,8.0,20.0,-14.0,36.7,-0.5
2025-11-17,2.0,27.0,-6.7,36.7,-0.5
2025-11-18,2.0,27.0,-6.7,33.2,-4.0
2025-11-19,2.0,27.0,-6.7,33.2,-4.0
2025-11-20,2.0,27.0,-6.7,30.2,-7.0
2025-11-21,2.0,27.0,-6.7,30.2,-7.0
2025-11-22,8.0,20.0,-14.0,36.7,-0.5
2025-11-23,2.0,27.0,-6.7,34.2,-3.0
2025-11-24,2.0,27.0,-6.7,34.2,-3.0
2025-11-25,2.0,27.0,-6.7,36.7,-0.5
2025-11-26,4.0,27.0,-6.7,36.7,-0.5
2025-11-27,4.0,29.0,-4.7,36.7,-0.5
2025-11-28,4.0,29.0,-4.7,30.2,-7.0
2025-11-29,4.0,29.0,-4.7,30.2,-7.0
2025-11-30,4.0,29.0,-4.7,30.2,-7.0
2025-12-01,4.0,29.0,-4.7,36.7,-0.5
2025-12-02,4.0,29.0,-4.7,36.7,-0.5
2025-12-03,4.0,29.0,-4.7,36.7,-0.5
2025-12-04,4.0,29.0,-4.7,36.7,-0.5
2025-12-05,4.0,29.0,-4.7,36.7,-0.5
2025-12-06,4.0,29.0,-4.7,36.7,-0.5
2025-12-07,4.0,29.0,-4.7,36.7,-0.5
2025-12-08,4.0,29.0,-4.7,36.7,-0.5
2025-12-09,8.5,20.0,-14.0,34.7,-2.5
2025-12-10,4.0,29.0,-4.7,34.7,-2.5
